ID,Input_Text,Input_Language,Target_Language,Translated_Text,Context,Sentence_Length,Intent
619,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Technical,Short,Inform
620,Combien ça coûte ?,fr,uk,Скільки це коштує?,Travel,Short,Request
621,Як далеко до аеропорту?,uk,en,How far is the airport?,Technical,Short,Inform
622,I need help!,en,es,¡Necesito ayuda!,Emergency,Short,Translate
623,How long will the repair take?,en,es,¿Cuánto tiempo tomará la reparación?,Formal,Medium,Inform
624,¿Cómo configurar Wi-Fi?,es,en,How to set up Wi-Fi?,Casual,Short,Translate
625,I like this place.,en,uk,Мені подобається це місце.,Casual,Short,Inform
626,¿Tienen descuentos?,es,en,Do you have any discounts?,Technical,Short,Request
627,Puis-je emporter ceci ?,fr,es,¿Puedo llevar esto para llevar?,Emergency,Short,Clarify
628,Що таке штучний інтелект?,uk,es,¿Qué es la inteligencia artificial?,Casual,Short,Translate
629,Où puis-je acheter des billets pour un concert ?,fr,es,¿Dónde puedo comprar entradas para un concierto?,Formal,Medium,Inform
630,Puis-je essayer ceci ?,fr,en,Can I try this on?,Technical,Short,Translate
631,Як працює ця програма?,uk,fr,Comment fonctionne ce programme ?,Emergency,Short,Request
632,¿Cuánto tiempo tomará la reparación?,es,en,How long will the repair take?,Formal,Medium,Inform
633,Де я можу купити квитки на концерт?,uk,en,Where can I buy concert tickets?,Formal,Medium,Translate
634,How much does it cost?,en,fr,Combien ça coûte ?,Formal,Medium,Request
635,How does this program work?,en,uk,Як працює ця програма?,Casual,Medium,Translate
636,¿Dónde está la biblioteca?,es,uk,Де знаходиться бібліотека?,Emergency,Short,Translate
637,Où est la pharmacie la plus proche ?,fr,uk,Де найближча аптека?,Casual,Medium,Translate
638,How does this program work?,en,uk,Як працює ця програма?,Emergency,Medium,Request
639,Comment connecter une imprimante à l'ordinateur ?,fr,en,How to connect a printer to the computer?,Travel,Medium,Translate
640,Comment fonctionne ce programme ?,fr,es,¿Cómo funciona este programa?,Formal,Medium,Translate
641,Can I pay by card?,en,uk,Чи можу я оплатити карткою?,Casual,Medium,Inform
642,"¡Hola, cómo estás?",es,fr,"Bonjour, comment vas-tu ?",Formal,Short,Request
643,Où est mon téléphone ?,fr,uk,Де мій телефон?,Technical,Medium,Translate
644,Combien ça coûte ?,fr,uk,Скільки це коштує?,Emergency,Short,Inform
645,How much is the ticket?,en,es,¿Cuánto cuesta el boleto?,Formal,Medium,Translate
646,Do you have any discounts?,en,fr,Avez-vous des réductions ?,Casual,Medium,Translate
647,¿Cómo funciona este programa?,es,uk,Як працює ця програма?,Casual,Short,Request
648,Скільки це коштує?,uk,fr,Combien ça coûte ?,Emergency,Short,Clarify
649,Чи можу я замовити таксі?,uk,fr,Puis-je commander un taxi ?,Formal,Medium,Translate
650,Perdí mis llaves.,es,en,I lost my keys.,Emergency,Short,Inform
651,¿Puedo llevar esto para llevar?,es,uk,Чи можу я взяти це з собою?,Formal,Medium,Clarify
652,Чи є у вас знижки?,uk,es,¿Tienen descuentos?,Emergency,Medium,Clarify
653,Me gusta este lugar.,es,fr,J'aime cet endroit.,Casual,Short,Request
654,Quelle heure est-il maintenant ?,fr,uk,Який час зараз?,Technical,Medium,Clarify
655,Чи можу я замовити таксі?,uk,en,Can I order a taxi?,Travel,Medium,Request
656,Що таке штучний інтелект?,uk,fr,Qu'est-ce que l'intelligence artificielle ?,Travel,Short,Request
657,¿Dónde está la farmacia más cercana?,es,uk,Де найближча аптека?,Casual,Medium,Request
658,Can I take this to go?,en,fr,Puis-je emporter ceci ?,Casual,Medium,Translate
659,Combien coûte ce livre ?,fr,es,¿Cuánto cuesta este libro?,Travel,Medium,Request
660,Де знаходиться бібліотека?,uk,en,Where is the library?,Casual,Short,Clarify
661,¿Cuánto cuesta?,es,uk,Скільки це коштує?,Travel,Short,Inform
662,Puis-je essayer ceci ?,fr,en,Can I try this on?,Emergency,Short,Request
663,¿Está lloviendo?,es,en,Is it raining?,Casual,Short,Translate
664,¿Cuál es el tipo de cambio hoy?,es,fr,Quel est le taux de change aujourd'hui ?,Emergency,Medium,Inform
665,Мені подобається це місце.,uk,en,I like this place.,Travel,Short,Inform
666,Чи йде дощ?,uk,es,¿Está lloviendo?,Formal,Short,Inform
667,Combien ça coûte ?,fr,es,¿Cuánto cuesta?,Formal,Short,Translate
668,Tengo frío.,es,en,I'm cold.,Emergency,Short,Translate
669,Який у вас пароль Wi-Fi?,uk,fr,Quel est le mot de passe Wi-Fi ?,Emergency,Medium,Request
670,Me gusta este lugar.,es,en,I like this place.,Formal,Short,Translate
671,J'ai perdu mes clés.,fr,en,I lost my keys.,Formal,Short,Clarify
672,J'ai perdu mes clés.,fr,en,I lost my keys.,Technical,Short,Translate
673,¿Puedo probarme esto?,es,en,Can I try this on?,Casual,Short,Translate
674,À quelle distance est l'aéroport ?,fr,uk,Як далеко до аеропорту?,Formal,Medium,Clarify
675,Où puis-je acheter des billets pour un concert ?,fr,uk,Де я можу купити квитки на концерт?,Formal,Medium,Translate
676,How do I contact support?,en,fr,Comment contacter le support ?,Formal,Medium,Request
677,Де я можу купити квитки на концерт?,uk,en,Where can I buy concert tickets?,Technical,Medium,Request
678,Where is the nearest pharmacy?,en,uk,Де найближча аптека?,Casual,Medium,Request
679,J'ai perdu mes clés.,fr,uk,Я загубив свої ключі.,Formal,Short,Clarify
680,Thank you for your attention.,en,fr,Merci pour votre attention.,Travel,Medium,Translate
681,Чи можу я повернути цей товар?,uk,fr,Puis-je retourner cet article ?,Casual,Medium,Inform
682,¿Hay estacionamiento aquí?,es,fr,Y a-t-il un parking ici ?,Technical,Short,Clarify
683,Це смачно!,uk,fr,C'est délicieux !,Casual,Short,Request
684,How far is the airport?,en,fr,À quelle distance est l'aéroport ?,Formal,Medium,Translate
685,Де знаходиться бібліотека?,uk,es,¿Dónde está la biblioteca?,Emergency,Short,Translate
686,J'ai perdu mes clés.,fr,en,I lost my keys.,Formal,Short,Request
687,Який у вас пароль Wi-Fi?,uk,fr,Quel est le mot de passe Wi-Fi ?,Travel,Medium,Inform
688,Where is the nearest pharmacy?,en,es,¿Dónde está la farmacia más cercana?,Emergency,Medium,Request
689,How does this program work?,en,uk,Як працює ця програма?,Formal,Medium,Inform
690,J'ai besoin d'une traduction de ce document.,fr,en,I need a translation of this document.,Emergency,Medium,Request
691,Мені холодно.,uk,en,I'm cold.,Formal,Short,Inform
692,Як налаштувати Wi-Fi?,uk,en,How to set up Wi-Fi?,Casual,Short,Inform
693,Це смачно!,uk,fr,C'est délicieux !,Formal,Short,Translate
694,Quel est le taux de change aujourd'hui ?,fr,en,What is today's exchange rate?,Technical,Medium,Request
695,"Привіт, як справи?",uk,es,"¡Hola, cómo estás?",Travel,Short,Translate
696,"¡Hola, cómo estás?",es,fr,"Bonjour, comment vas-tu ?",Technical,Short,Inform
697,¡Necesito ayuda!,es,fr,J'ai besoin d'aide !,Travel,Short,Request
698,"Hello, how are you?",en,fr,"Bonjour, comment vas-tu ?",Technical,Short,Clarify
699,¿Cuánto cuesta?,es,fr,Combien ça coûte ?,Formal,Short,Translate
700,C'est délicieux !,fr,en,This is delicious!,Travel,Short,Translate
701,"Bonjour, comment vas-tu ?",fr,es,"¡Hola, cómo estás?",Casual,Short,Translate
702,Où puis-je trouver un hôtel ?,fr,es,¿Dónde puedo encontrar un hotel?,Casual,Medium,Translate
703,¡Esto es delicioso!,es,fr,C'est délicieux !,Casual,Short,Translate
704,How much is the ticket?,en,es,¿Cuánto cuesta el boleto?,Casual,Medium,Inform
705,I want a cup of coffee.,en,es,Quiero una taza de café.,Emergency,Medium,Translate
706,Avez-vous un menu végétarien ?,fr,es,¿Tienen menú vegetariano?,Travel,Medium,Inform
707,Comment fonctionne ce programme ?,fr,es,¿Cómo funciona este programa?,Formal,Medium,Translate
708,Can I return this item?,en,uk,Чи можу я повернути цей товар?,Casual,Medium,Translate
709,Can I return this item?,en,es,¿Puedo devolver este artículo?,Emergency,Medium,Clarify
710,I lost my keys.,en,uk,Я загубив свої ключі.,Technical,Short,Request
711,¿Cómo configurar Wi-Fi?,es,uk,Як налаштувати Wi-Fi?,Emergency,Short,Request
712,¿Cuánto cuesta?,es,en,How much does it cost?,Formal,Short,Request
713,¿Puedo pedir un taxi?,es,fr,Puis-je commander un taxi ?,Emergency,Short,Request
714,Puis-je emporter ceci ?,fr,es,¿Puedo llevar esto para llevar?,Casual,Short,Translate
715,How to set up Wi-Fi?,en,fr,Comment configurer le Wi-Fi ?,Travel,Medium,Translate
716,Where is the nearest pharmacy?,en,fr,Où est la pharmacie la plus proche ?,Emergency,Medium,Translate
717,I like this place.,en,es,Me gusta este lugar.,Emergency,Short,Request
718,How much is the ticket?,en,fr,Combien coûte le billet ?,Formal,Medium,Translate
719,Do you have a vegetarian menu?,en,es,¿Tienen menú vegetariano?,Travel,Medium,Clarify
720,What is your dog's name?,en,fr,Comment s'appelle votre chien ?,Formal,Medium,Inform
721,¿Qué hora es ahora?,es,uk,Який час зараз?,Casual,Short,Translate
722,Perdí mis llaves.,es,en,I lost my keys.,Casual,Short,Request
723,Puis-je emporter ceci ?,fr,uk,Чи можу я взяти це з собою?,Technical,Short,Request
724,¿Cómo se llama tu perro?,es,en,What is your dog's name?,Technical,Medium,Request
725,"Hello, how are you?",en,uk,"Привіт, як справи?",Technical,Short,Translate
726,Quiero una taza de café.,es,uk,Я хочу чашку кави.,Travel,Medium,Request
727,Can I try this on?,en,uk,Чи можу я спробувати це?,Travel,Medium,Translate
728,Як працює ця програма?,uk,fr,Comment fonctionne ce programme ?,Formal,Short,Inform
729,Comment aller à la gare ?,fr,en,How to get to the train station?,Formal,Medium,Translate
730,Can I pay by card?,en,fr,Puis-je payer par carte ?,Travel,Medium,Translate
731,Can I return this item?,en,uk,Чи можу я повернути цей товар?,Formal,Medium,Translate
732,J'aime cet endroit.,fr,es,Me gusta este lugar.,Formal,Short,Request
733,Чи можу я оплатити карткою?,uk,es,¿Puedo pagar con tarjeta?,Casual,Medium,Request
734,¿Cómo funciona este programa?,es,fr,Comment fonctionne ce programme ?,Travel,Short,Translate
735,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Technical,Short,Translate
736,Comment connecter une imprimante à l'ordinateur ?,fr,es,¿Cómo conectar una impresora a la computadora?,Technical,Medium,Inform
737,Дякую за вашу увагу.,uk,en,Thank you for your attention.,Technical,Short,Translate
738,Where can I find a hotel?,en,es,¿Dónde puedo encontrar un hotel?,Technical,Medium,Inform
739,Où est mon téléphone ?,fr,es,¿Dónde está mi teléfono?,Casual,Medium,Translate
740,¿Cuánto cuesta este libro?,es,en,How much is this book?,Casual,Short,Inform
741,Як звати вашого собаку?,uk,fr,Comment s'appelle votre chien ?,Formal,Short,Clarify
742,Чи є тут парковка?,uk,fr,Y a-t-il un parking ici ?,Emergency,Short,Translate
743,Do you have any discounts?,en,fr,Avez-vous des réductions ?,Emergency,Medium,Clarify
744,"Це терміново, викличте лікаря!",uk,es,"¡Es urgente, llame a un médico!",Casual,Short,Translate
745,Combien coûte ce livre ?,fr,uk,Скільки коштує ця книга?,Casual,Medium,Translate
746,Puis-je commander un taxi ?,fr,en,Can I order a taxi?,Technical,Medium,Inform
747,I'm cold.,en,es,Tengo frío.,Emergency,Short,Request
748,I lost my keys.,en,uk,Я загубив свої ключі.,Formal,Short,Request
749,Do you have a vegetarian menu?,en,fr,Avez-vous un menu végétarien ?,Casual,Medium,Clarify
750,Perdí mis llaves.,es,en,I lost my keys.,Formal,Short,Request
751,C'est délicieux !,fr,uk,Це смачно!,Travel,Short,Clarify
752,Comment contacter le support ?,fr,es,¿Cómo contacto con soporte?,Technical,Medium,Clarify
753,¿Puedo pedir un taxi?,es,en,Can I order a taxi?,Emergency,Short,Translate
754,Я загубив свої ключі.,uk,es,Perdí mis llaves.,Travel,Short,Translate
755,How to connect a printer to the computer?,en,fr,Comment connecter une imprimante à l'ordinateur ?,Formal,Medium,Inform
756,Comment contacter le support ?,fr,es,¿Cómo contacto con soporte?,Travel,Medium,Translate
757,Thank you for your attention.,en,fr,Merci pour votre attention.,Travel,Medium,Request
758,¿Puedo pagar con tarjeta?,es,en,Can I pay by card?,Formal,Short,Translate
759,Can I take this to go?,en,es,¿Puedo llevar esto para llevar?,Emergency,Medium,Translate
760,Як дістатися до вокзалу?,uk,en,How to get to the train station?,Travel,Short,Inform
761,Necesito una traducción de este documento.,es,uk,Мені потрібен переклад цього документа.,Formal,Medium,Translate
762,Мені подобається це місце.,uk,en,I like this place.,Casual,Short,Translate
763,How do I contact support?,en,es,¿Cómo contacto con soporte?,Technical,Medium,Request
764,What is today's exchange rate?,en,uk,Який сьогодні курс валют?,Travel,Medium,Request
765,Чи є у вас вегетаріанське меню?,uk,es,¿Tienen menú vegetariano?,Casual,Medium,Translate
766,Чи йде дощ?,uk,fr,Est-ce qu'il pleut ?,Emergency,Short,Inform
767,¿Puedo probarme esto?,es,fr,Puis-je essayer ceci ?,Casual,Short,Translate
768,Y a-t-il un parking ici ?,fr,es,¿Hay estacionamiento aquí?,Formal,Medium,Translate
769,Gracias por su atención.,es,fr,Merci pour votre attention.,Casual,Short,Translate
770,How to get to the train station?,en,fr,Comment aller à la gare ?,Emergency,Medium,Inform
771,Y a-t-il un parking ici ?,fr,en,Is there parking here?,Emergency,Medium,Translate
772,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Formal,Short,Request
773,¿Puedo pedir un taxi?,es,en,Can I order a taxi?,Technical,Short,Request
774,Où est la pharmacie la plus proche ?,fr,en,Where is the nearest pharmacy?,Formal,Medium,Inform
775,Чи можу я повернути цей товар?,uk,en,Can I return this item?,Technical,Medium,Translate
776,Tengo frío.,es,fr,J'ai froid.,Formal,Short,Translate
777,I need a translation of this document.,en,uk,Мені потрібен переклад цього документа.,Formal,Medium,Translate
778,Quel est le taux de change aujourd'hui ?,fr,es,¿Cuál es el tipo de cambio hoy?,Formal,Medium,Inform
779,Can I return this item?,en,uk,Чи можу я повернути цей товар?,Travel,Medium,Inform
780,Скільки коштує ця книга?,uk,es,¿Cuánto cuesta este libro?,Travel,Short,Inform
781,Is it raining?,en,uk,Чи йде дощ?,Casual,Short,Clarify
782,How do I contact support?,en,es,¿Cómo contacto con soporte?,Casual,Medium,Request
783,¿Cómo contacto con soporte?,es,en,How do I contact support?,Casual,Short,Translate
784,How long will the repair take?,en,fr,Combien de temps prendra la réparation ?,Formal,Medium,Translate
785,Gracias por su atención.,es,en,Thank you for your attention.,Casual,Short,Translate
786,¿Puedo devolver este artículo?,es,fr,Puis-je retourner cet article ?,Formal,Short,Clarify
787,Combien ça coûte ?,fr,uk,Скільки це коштує?,Emergency,Short,Translate
788,¿Tienen descuentos?,es,en,Do you have any discounts?,Casual,Short,Clarify
789,Puis-je essayer ceci ?,fr,es,¿Puedo probarme esto?,Formal,Short,Request
790,¿Cómo se llama tu perro?,es,uk,Як звати вашого собаку?,Casual,Medium,Translate
791,Y a-t-il un parking ici ?,fr,es,¿Hay estacionamiento aquí?,Formal,Medium,Translate
792,I want a cup of coffee.,en,uk,Я хочу чашку кави.,Formal,Medium,Inform
793,Where is the library?,en,fr,Où est la bibliothèque ?,Technical,Short,Clarify
794,Puis-je payer par carte ?,fr,en,Can I pay by card?,Travel,Medium,Request
795,Combien de temps prendra la réparation ?,fr,en,How long will the repair take?,Travel,Medium,Translate
796,Comment configurer le Wi-Fi ?,fr,en,How to set up Wi-Fi?,Emergency,Medium,Clarify
797,Can I try this on?,en,es,¿Puedo probarme esto?,Technical,Medium,Inform
798,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Casual,Short,Clarify
799,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Emergency,Short,Request
800,I'm cold.,en,es,Tengo frío.,Technical,Short,Translate
801,Est-ce qu'il pleut ?,fr,es,¿Está lloviendo?,Casual,Short,Request
802,¿Hay asientos libres en el restaurante?,es,uk,Чи є вільні місця в ресторані?,Emergency,Medium,Translate
803,Where can I find a hotel?,en,es,¿Dónde puedo encontrar un hotel?,Casual,Medium,Translate
804,Où puis-je acheter des billets pour un concert ?,fr,uk,Де я можу купити квитки на концерт?,Technical,Medium,Inform
805,Can I try this on?,en,uk,Чи можу я спробувати це?,Travel,Medium,Request
806,This is delicious!,en,es,¡Esto es delicioso!,Casual,Short,Translate
807,Est-ce qu'il pleut ?,fr,es,¿Está lloviendo?,Formal,Short,Translate
808,Où est la pharmacie la plus proche ?,fr,uk,Де найближча аптека?,Travel,Medium,Request
809,Де я можу купити квитки на концерт?,uk,fr,Où puis-je acheter des billets pour un concert ?,Casual,Medium,Translate
810,"Bonjour, comment vas-tu ?",fr,uk,"Привіт, як справи?",Technical,Short,Request
811,I need help!,en,uk,Мені потрібна допомога!,Casual,Short,Request
812,Combien de temps prendra la réparation ?,fr,es,¿Cuánto tiempo tomará la reparación?,Travel,Medium,Request
813,Як зв’язатися з підтримкою?,uk,fr,Comment contacter le support ?,Casual,Short,Request
814,Quel est le taux de change aujourd'hui ?,fr,es,¿Cuál es el tipo de cambio hoy?,Casual,Medium,Inform
815,Avez-vous un menu végétarien ?,fr,uk,Чи є у вас вегетаріанське меню?,Travel,Medium,Inform
816,Мені подобається це місце.,uk,es,Me gusta este lugar.,Emergency,Short,Translate
817,Який час зараз?,uk,en,What time is it now?,Technical,Short,Translate
818,Puis-je retourner cet article ?,fr,en,Can I return this item?,Emergency,Medium,Request
819,Où est la pharmacie la plus proche ?,fr,es,¿Dónde está la farmacia más cercana?,Formal,Medium,Request
820,¿Cuál es el tipo de cambio hoy?,es,en,What is today's exchange rate?,Travel,Medium,Inform
821,¿Cuánto cuesta el boleto?,es,fr,Combien coûte le billet ?,Travel,Short,Inform
822,"Це терміново, викличте лікаря!",uk,en,"It's urgent, call a doctor!",Technical,Short,Request
823,¿Dónde está la biblioteca?,es,en,Where is the library?,Technical,Short,Request
824,Де мій телефон?,uk,en,Where is my phone?,Technical,Short,Translate
825,¿Dónde puedo comprar entradas para un concierto?,es,uk,Де я можу купити квитки на концерт?,Casual,Medium,Translate
826,"It's urgent, call a doctor!",en,fr,"C'est urgent, appelez un médecin !",Emergency,Medium,Request
827,C'est délicieux !,fr,es,¡Esto es delicioso!,Casual,Short,Request
828,Як звати вашого собаку?,uk,en,What is your dog's name?,Technical,Short,Request
829,Necesito una traducción de este documento.,es,en,I need a translation of this document.,Casual,Medium,Request
830,¿Cómo llegar a la estación de tren?,es,uk,Як дістатися до вокзалу?,Emergency,Medium,Translate
831,I like this place.,en,es,Me gusta este lugar.,Emergency,Short,Inform
832,"Будь ласка, поясніть це ще раз.",uk,es,"Por favor, explícalo de nuevo.",Emergency,Medium,Request
833,"¡Es urgente, llame a un médico!",es,en,"It's urgent, call a doctor!",Casual,Medium,Request
834,Скільки це коштує?,uk,fr,Combien ça coûte ?,Casual,Short,Translate
835,Y a-t-il des places libres au restaurant ?,fr,en,Are there free seats in the restaurant?,Casual,Medium,Request
836,Я загубив свої ключі.,uk,en,I lost my keys.,Formal,Short,Translate
837,Comment connecter une imprimante à l'ordinateur ?,fr,es,¿Cómo conectar una impresora a la computadora?,Casual,Medium,Request
838,Де мій телефон?,uk,es,¿Dónde está mi teléfono?,Travel,Short,Translate
839,Як працює ця програма?,uk,fr,Comment fonctionne ce programme ?,Casual,Short,Translate
840,How much is the ticket?,en,es,¿Cuánto cuesta el boleto?,Emergency,Medium,Inform
841,Comment connecter une imprimante à l'ordinateur ?,fr,es,¿Cómo conectar una impresora a la computadora?,Casual,Medium,Inform
842,¿Cuánto cuesta el boleto?,es,fr,Combien coûte le billet ?,Travel,Short,Request
843,How far is the airport?,en,fr,À quelle distance est l'aéroport ?,Emergency,Medium,Request
844,Чи можу я взяти це з собою?,uk,es,¿Puedo llevar esto para llevar?,Technical,Medium,Request
845,What is your dog's name?,en,fr,Comment s'appelle votre chien ?,Travel,Medium,Request
846,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Travel,Short,Translate
847,What is today's exchange rate?,en,fr,Quel est le taux de change aujourd'hui ?,Emergency,Medium,Request
848,¿Cuál es el tipo de cambio hoy?,es,uk,Який сьогодні курс валют?,Travel,Medium,Translate
849,¿Dónde está mi teléfono?,es,fr,Où est mon téléphone ?,Formal,Short,Translate
850,Як довго триватиме ремонт?,uk,fr,Combien de temps prendra la réparation ?,Emergency,Short,Clarify
851,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Travel,Short,Request
852,Comment aller à la gare ?,fr,en,How to get to the train station?,Technical,Medium,Translate
853,Мені потрібна допомога!,uk,en,I need help!,Casual,Short,Translate
854,Can I return this item?,en,fr,Puis-je retourner cet article ?,Formal,Medium,Translate
855,Merci pour votre attention.,fr,es,Gracias por su atención.,Travel,Short,Inform
856,I want a cup of coffee.,en,fr,Je veux une tasse de café.,Technical,Medium,Translate
857,Où puis-je trouver un hôtel ?,fr,es,¿Dónde puedo encontrar un hotel?,Casual,Medium,Translate
858,What is artificial intelligence?,en,es,¿Qué es la inteligencia artificial?,Formal,Short,Inform
859,Чи є у вас вегетаріанське меню?,uk,en,Do you have a vegetarian menu?,Formal,Medium,Translate
860,Comment connecter une imprimante à l'ordinateur ?,fr,es,¿Cómo conectar una impresora a la computadora?,Casual,Medium,Translate
861,Чи можу я замовити таксі?,uk,fr,Puis-je commander un taxi ?,Technical,Medium,Inform
862,¿Cuál es el tipo de cambio hoy?,es,en,What is today's exchange rate?,Emergency,Medium,Translate
863,Quelle heure est-il maintenant ?,fr,uk,Який час зараз?,Formal,Medium,Request
864,Puis-je retourner cet article ?,fr,es,¿Puedo devolver este artículo?,Formal,Medium,Translate
865,"Будь ласка, поясніть це ще раз.",uk,es,"Por favor, explícalo de nuevo.",Travel,Medium,Request
866,J'ai besoin d'une traduction de ce document.,fr,en,I need a translation of this document.,Casual,Medium,Request
867,Скільки коштує ця книга?,uk,fr,Combien coûte ce livre ?,Formal,Short,Translate
868,Combien de temps prendra la réparation ?,fr,en,How long will the repair take?,Casual,Medium,Translate
869,Який у вас пароль Wi-Fi?,uk,fr,Quel est le mot de passe Wi-Fi ?,Technical,Medium,Translate
870,Can I take this to go?,en,es,¿Puedo llevar esto para llevar?,Emergency,Medium,Translate
871,Quel est le taux de change aujourd'hui ?,fr,uk,Який сьогодні курс валют?,Technical,Medium,Translate
872,Do you have a vegetarian menu?,en,uk,Чи є у вас вегетаріанське меню?,Travel,Medium,Inform
873,Що таке штучний інтелект?,uk,en,What is artificial intelligence?,Travel,Short,Translate
874,Avez-vous des réductions ?,fr,es,¿Tienen descuentos?,Emergency,Short,Translate
875,Quelle heure est-il maintenant ?,fr,en,What time is it now?,Travel,Medium,Inform
876,Me gusta este lugar.,es,en,I like this place.,Casual,Short,Clarify
877,Merci pour votre attention.,fr,uk,Дякую за вашу увагу.,Travel,Short,Inform
878,Чи можу я спробувати це?,uk,en,Can I try this on?,Travel,Medium,Inform
879,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Formal,Short,Request
880,¿Cómo llegar a la estación de tren?,es,en,How to get to the train station?,Travel,Medium,Request
881,¿A qué distancia está el aeropuerto?,es,en,How far is the airport?,Travel,Medium,Inform
882,Який сьогодні курс валют?,uk,fr,Quel est le taux de change aujourd'hui ?,Formal,Short,Translate
883,¿Hay asientos libres en el restaurante?,es,uk,Чи є вільні місця в ресторані?,Technical,Medium,Translate
884,¿Qué es la inteligencia artificial?,es,uk,Що таке штучний інтелект?,Formal,Medium,Request
885,Я хочу чашку кави.,uk,es,Quiero una taza de café.,Technical,Short,Translate
886,I need a translation of this document.,en,fr,J'ai besoin d'une traduction de ce document.,Travel,Medium,Request
887,J'ai perdu mes clés.,fr,uk,Я загубив свої ключі.,Casual,Short,Request
888,How much does it cost?,en,fr,Combien ça coûte ?,Technical,Medium,Request
889,Мені потрібен переклад цього документа.,uk,en,I need a translation of this document.,Casual,Medium,Inform
890,¿Qué es la inteligencia artificial?,es,uk,Що таке штучний інтелект?,Technical,Medium,Translate
891,¿Dónde está la biblioteca?,es,uk,Де знаходиться бібліотека?,Technical,Short,Translate
892,Puis-je essayer ceci ?,fr,es,¿Puedo probarme esto?,Technical,Short,Request
893,¿Puedo probarme esto?,es,fr,Puis-je essayer ceci ?,Travel,Short,Request
894,Où puis-je acheter des billets pour un concert ?,fr,en,Where can I buy concert tickets?,Formal,Medium,Translate
895,How much is the ticket?,en,fr,Combien coûte le billet ?,Technical,Medium,Translate
896,¿Qué hora es ahora?,es,fr,Quelle heure est-il maintenant ?,Technical,Short,Request
897,Чи є вільні місця в ресторані?,uk,fr,Y a-t-il des places libres au restaurant ?,Casual,Medium,Inform
898,Are there free seats in the restaurant?,en,fr,Y a-t-il des places libres au restaurant ?,Emergency,Medium,Translate
899,¿Qué hora es ahora?,es,uk,Який час зараз?,Formal,Short,Clarify
900,Qu'est-ce que l'intelligence artificielle ?,fr,en,What is artificial intelligence?,Casual,Medium,Inform
901,Який час зараз?,uk,es,¿Qué hora es ahora?,Formal,Short,Inform
902,Puis-je commander un taxi ?,fr,en,Can I order a taxi?,Technical,Medium,Translate
903,Y a-t-il des places libres au restaurant ?,fr,uk,Чи є вільні місця в ресторані?,Formal,Medium,Translate
904,¿Puedo devolver este artículo?,es,en,Can I return this item?,Casual,Short,Translate
905,Який час зараз?,uk,en,What time is it now?,Travel,Short,Inform
906,¿Puedo pagar con tarjeta?,es,uk,Чи можу я оплатити карткою?,Formal,Short,Inform
907,Де знаходиться бібліотека?,uk,fr,Où est la bibliothèque ?,Travel,Short,Translate
908,¡Necesito ayuda!,es,uk,Мені потрібна допомога!,Casual,Short,Request
909,Où est mon téléphone ?,fr,es,¿Dónde está mi teléfono?,Formal,Medium,Clarify
910,Чи є тут парковка?,uk,fr,Y a-t-il un parking ici ?,Emergency,Short,Clarify
911,¿Dónde está mi teléfono?,es,fr,Où est mon téléphone ?,Formal,Short,Request
912,Як зв’язатися з підтримкою?,uk,en,How do I contact support?,Emergency,Short,Inform
913,How to set up Wi-Fi?,en,es,¿Cómo configurar Wi-Fi?,Casual,Medium,Translate
914,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Technical,Short,Inform
915,How much does it cost?,en,es,¿Cuánto cuesta?,Emergency,Medium,Translate
916,Comment contacter le support ?,fr,es,¿Cómo contacto con soporte?,Casual,Medium,Translate
917,¿Cómo funciona este programa?,es,fr,Comment fonctionne ce programme ?,Emergency,Short,Translate
918,¿Hay estacionamiento aquí?,es,en,Is there parking here?,Travel,Short,Request
919,¿Cómo llegar a la estación de tren?,es,uk,Як дістатися до вокзалу?,Technical,Medium,Request
920,What is your dog's name?,en,uk,Як звати вашого собаку?,Casual,Medium,Inform
921,Where is my phone?,en,uk,Де мій телефон?,Emergency,Short,Translate
922,Perdí mis llaves.,es,uk,Я загубив свої ключі.,Emergency,Short,Request
923,How much does it cost?,en,uk,Скільки це коштує?,Technical,Medium,Translate
924,"C'est urgent, appelez un médecin !",fr,uk,"Це терміново, викличте лікаря!",Emergency,Medium,Request
925,How long will the repair take?,en,fr,Combien de temps prendra la réparation ?,Travel,Medium,Request
926,Мені подобається це місце.,uk,en,I like this place.,Emergency,Short,Translate
927,¿Qué es la inteligencia artificial?,es,fr,Qu'est-ce que l'intelligence artificielle ?,Travel,Medium,Translate
928,"Por favor, explícalo de nuevo.",es,uk,"Будь ласка, поясніть це ще раз.",Formal,Medium,Request
929,Je veux une tasse de café.,fr,es,Quiero una taza de café.,Emergency,Medium,Inform
930,Where is the library?,en,uk,Де знаходиться бібліотека?,Technical,Short,Translate
931,Як зв’язатися з підтримкою?,uk,fr,Comment contacter le support ?,Casual,Short,Inform
